lo	page_entropy	printable_ratio	insns	avg_insn_len	undecodable_bytes
0x1407a4b90	5.819	0.320	143	3.59	0
0x1407a4d90	5.904	0.287	119	4.30	0
0x1407a4f90	5.072	0.227	99	5.18	0
0x1407a5190	6.121	0.318	139	3.68	0
0x1407a5390	5.519	0.287	115	4.44	1
0x1407a5590	5.804	0.324	120	4.29	0
0x1407a5790	6.123	0.355	131	3.94	0
0x1407a5990	5.277	0.275	110	4.65	0
0x1407a5b90	5.846	0.297	118	4.35	0
0x1407a5d90	5.377	0.258	109	4.70	0
0x1407a5f90	5.594	0.305	117	4.39	0
0x1407a6190	5.688	0.275	118	4.35	0
0x1407a6390	5.632	0.281	114	4.50	0
0x1407a6590	5.594	0.281	116	4.43	0
0x1407a6790	5.424	0.287	122	4.20	0
0x1407a6990	6.165	0.365	136	3.76	0
0x1407a6b90	5.786	0.297	125	4.10	0
0x1407a6d90	5.569	0.309	114	4.49	0
0x1407a6f90	5.505	0.295	127	4.06	0
0x1407a7190	6.005	0.354	127	4.02	2
0x1407a7390	5.858	0.311	123	4.18	0
0x1407a7590	5.435	0.256	116	4.41	0
0x1407a7790	5.271	0.277	120	4.24	3
0x1407a7990	5.775	0.328	124	4.13	0
0x1407a7b90	6.603	0.416	109	4.71	0
0x1407a7d90	7.464	0.410	161	3.06	19
0x1407a7f90	7.346	0.422	184	2.62	29
0x1407a8190	7.515	0.404	175	2.64	50
0x1407a8390	7.450	0.379	174	2.83	19
0x1407a8590	6.662	0.391	125	4.11	0
0x1407a8790	7.362	0.418	166	3.00	14
0x1407a8990	7.478	0.332	178	2.75	23
0x1407a8b90	7.459	0.408	179	2.73	24
0x1407a8d90	7.459	0.338	181	2.65	33
0x1407a8f90	7.239	0.342	118	4.31	4
0x1407a9190	7.469	0.357	152	3.23	21
0x1407a9390	7.500	0.389	171	2.87	22
0x1407a9590	7.546	0.365	177	2.84	9
0x1407a9790	7.509	0.387	157	3.07	30
0x1407a9990	7.453	0.402	157	3.17	14
0x1407a9b90	7.418	0.393	182	2.64	32
0x1407a9d90	7.476	0.367	163	2.98	26
0x1407a9f90	7.414	0.387	159	3.09	20
0x1407aa190	7.466	0.393	162	3.01	25
0x1407aa390	7.404	0.389	142	3.50	15
0x1407aa590	6.427	0.346	109	4.72	0
