slot_va	rva	target_va	is_pdata_start	target_owner
0x140f804fc	0x42eaba	0x14042eaba	no	NO-FUNCTION
0x140f84910	0x48372c	0x14048372c	no	NO-FUNCTION
0x140f84f84	0x4b053e	0x1404b053e	no	NO-FUNCTION
0x140f8554c	0x322b8a	0x140322b8a	no	NO-FUNCTION
0x140f860f8	0x4e49b1	0x1404e49b1	no	NO-FUNCTION
0x140f86108	0x2abcbf	0x1402abcbf	no	NO-FUNCTION
0x140f86148	0x7eb0a	0x14007eb0a	no	0x140071910..0x1400f6e74
0x140f86440	0x4f4d7c	0x1404f4d7c	no	NO-FUNCTION
0x140f864d8	0x2a3020	0x1402a3020	no	NO-FUNCTION
0x140f86598	0x46247b	0x14046247b	no	NO-FUNCTION
0x140f86fa4	0x74c737	0x14074c737	no	0x1407206a0..0x14075b438
0x140f87c18	0x5103a4	0x1405103a4	no	NO-FUNCTION
0x140f8932c	0x1f269	0x14001f269	no	0x14001bdf0..0x14002a6e2
0x140f89800	0x618a33	0x140618a33	no	0x1405e8220..0x1406196ee
0x140f89830	0x1eedb1	0x1401eedb1	no	NO-FUNCTION
0x140f8a0f8	0x256fac	0x140256fac	no	NO-FUNCTION
0x140f8a3cc	0x45cbe7	0x14045cbe7	no	NO-FUNCTION
0x140f8abd0	0x2582aa	0x1402582aa	no	NO-FUNCTION
0x140f8b4ac	0x19b191	0x14019b191	no	0x140197d50..0x1401a7b91
0x140f8b50c	0x7c8888	0x1407c8888	no	0x1407c8790..0x1407c8942
0x140f8c990	0x72c4a9	0x14072c4a9	no	0x1407206a0..0x14075b438
0x140f8cb70	0x3156	0x140003156	no	0x1400019d0..0x14001bde5
0x140f8cb74	0x3256	0x140003256	no	0x1400019d0..0x14001bde5
0x140f8cb78	0x3356	0x140003356	no	0x1400019d0..0x14001bde5
0x140f8cb98	0x5048	0x140005048	no	0x1400019d0..0x14001bde5
0x140f8cbe8	0x2e2e2e	0x1402e2e2e	no	NO-FUNCTION
0x140f8cc14	0x2e2e	0x140002e2e	no	0x1400019d0..0x14001bde5
0x140f8cc28	0xc7b2	0x14000c7b2	no	0x1400019d0..0x14001bde5
0x140f8cc44	0x36a3	0x1400036a3	no	0x1400019d0..0x14001bde5
0x140f8cc7c	0x425370	0x140425370	no	NO-FUNCTION
0x140f8cce8	0xe8a5	0x14000e8a5	no	0x1400019d0..0x14001bde5
0x140f8cd0c	0x2e49	0x140002e49	no	0x1400019d0..0x14001bde5
0x140f8cd38	0x140c0e	0x140140c0e	no	0x1400f6eb0..0x1401934a2
0x140f8cd7c	0x3938	0x140003938	no	0x1400019d0..0x14001bde5
0x140f8cd90	0xe1800	0x1400e1800	no	0x140071910..0x1400f6e74
0x140f8cdb4	0x190e	0x14000190e	no	NO-FUNCTION
0x140f8ce30	0x595b	0x14000595b	no	0x1400019d0..0x14001bde5
0x140f8ce8c	0x3938	0x140003938	no	0x1400019d0..0x14001bde5
0x140f8cef4	0x676e6f	0x140676e6f	no	0x140665910..0x140680974
0x140f8cef8	0x203a	0x14000203a	no	0x1400019d0..0x14001bde5
0x140f8cf1c	0x656d61	0x140656d61	no	0x140643ae0..0x1406656b1
0x140f8cf8c	0x7673	0x140007673	no	0x1400019d0..0x14001bde5
0x140f8d000	0x31304c	0x14031304c	no	NO-FUNCTION
0x140f8d010	0x52005c	0x14052005c	no	NO-FUNCTION
0x140f8d014	0x670065	0x140670065	no	0x140665910..0x140680974
0x140f8d018	0x730069	0x140730069	no	0x1407206a0..0x14075b438
0x140f8d01c	0x720074	0x140720074	no	0x1406dacb0..0x140720697
0x140f8d020	0x5c0079	0x1405c0079	no	0x1405a0700..0x1405c16cf
0x140f8d024	0x61004d	0x14061004d	no	0x1405e8220..0x1406196ee
0x140f8d028	0x680063	0x140680063	no	0x140665910..0x140680974
0x140f8d02c	0x6e0069	0x1406e0069	no	0x1406dacb0..0x140720697
0x140f8d030	0x5c0065	0x1405c0065	no	0x1405a0700..0x1405c16cf
0x140f8d034	0x790053	0x140790053	no	0x140790010..0x140790073
0x140f8d038	0x740073	0x140740073	no	0x1407206a0..0x14075b438
0x140f8d03c	0x6d0065	0x1406d0065	no	0x1406cd1b0..0x1406daca2
0x140f8d040	0x43005c	0x14043005c	no	NO-FUNCTION
0x140f8d044	0x720075	0x140720075	no	0x1406dacb0..0x140720697
0x140f8d048	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
0x140f8d04c	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8d050	0x6f0043	0x1406f0043	no	0x1406dacb0..0x140720697
0x140f8d054	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8d058	0x6f0072	0x1406f0072	no	0x1406dacb0..0x140720697
0x140f8d05c	0x53006c	0x14053006c	no	NO-FUNCTION
0x140f8d060	0x740065	0x140740065	no	0x1407206a0..0x14075b438
0x140f8d064	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8d068	0x720065	0x140720065	no	0x1406dacb0..0x140720697
0x140f8d06c	0x690076	0x140690076	no	0x140680980..0x14069e996
0x140f8d070	0x650063	0x140650063	no	0x140643ae0..0x1406656b1
0x140f8d074	0x5c0073	0x1405c0073	no	0x1405a0700..0x1405c16cf
0x140f8d080	0x590053	0x140590053	no	NO-FUNCTION
0x140f8d084	0x540053	0x140540053	no	NO-FUNCTION
0x140f8d088	0x4d0045	0x1404d0045	no	NO-FUNCTION
0x140f8d08c	0x43005c	0x14043005c	no	NO-FUNCTION
0x140f8d090	0x720075	0x140720075	no	0x1406dacb0..0x140720697
0x140f8d094	0x650072	0x140650072	no	0x140643ae0..0x1406656b1
0x140f8d098	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8d09c	0x6f0043	0x1406f0043	no	0x1406dacb0..0x140720697
0x140f8d0a0	0x74006e	0x14074006e	no	0x1407206a0..0x14075b438
0x140f8d0a4	0x6f0072	0x1406f0072	no	0x1406dacb0..0x140720697
0x140f8d0a8	0x53006c	0x14053006c	no	NO-FUNCTION
0x140f8d0ac	0x740065	0x140740065	no	0x1407206a0..0x14075b438
0x140f8d0b0	0x53005c	0x14053005c	no	NO-FUNCTION
0x140f8d0b4	0x720065	0x140720065	no	0x1406dacb0..0x140720697
