== C55  B1 两个"决定性被调方"地址的字节级核对（纯离线，不花一臂）==
问题：0x141a1ff1b（FUN_1407a3000 的返回值来源）与 0x1417612fa（终止块的被叫方）
      是 P4§4.4/§4.15 从 Ghidra 伪代码里读出来的地址，六臂的 BR 系列都以它们为唯一未知量。
      BR7Q 把两页都读回成非零（509/512、503/512），但两页都不像函数入口。⇒ 先怀疑地址本身。

--- 1. 搜索面（每条阴性都必须自带覆盖）---
   RG2_region_0x140e00000.bin         4194304 B  VA 0x140e00000..
   stream_rdata.bin                    262144 B  raw blob（无段表可归位）
   stream_rdatafront.bin              1048576 B  raw blob（无段表可归位）
   stream_text.bin                    8257536 B  VA 0x140001000..
   合计 13762560 B（13.8 MB）

--- 2. 目标地址能否以任何 call/立即数形式出现在明文里 ---
   0x0000000141a1ff1b (rva 0x1a1ff1b):  E8target@RG2_region_0x140e00000=0  E8target@stream_text=0  imm32le@RG2_region_0x140e00000=0  imm32le@stream_rdata=0  imm32le@stream_rdatafront=0  imm32le@stream_text=0
   0x00000001417612fa (rva 0x17612fa):  E8target@RG2_region_0x140e00000=0  E8target@stream_text=0  imm32le@RG2_region_0x140e00000=0  imm32le@stream_rdata=0  imm32le@stream_rdatafront=0  imm32le@stream_text=0
   ⇒ 两个地址在 13.7 MB 明文里既不是任何 E8 的目标，也没有作为 4 字节立即数出现过一次。
     它们只出现在反编译产物里。B1 的"唯一未决量"因此是建在二手地址上的。

--- 3. 明文真正点名的 .Sq> 被调方（逐字节线性扫描，按 .pdata 条目起解并跟随尾填充跳转）---
   闸门 FUN_1407a3080 0x1407a3080..0x1407a3323: 9 个对齐的 .Sq> 调用点
      0x0001407a30d3 -> 0x000141678922 (页 0x000141678000 +0x922)
      0x0001407a30dc -> 0x00014160eaaa (页 0x00014160e000 +0xaaa)
      0x0001407a30e8 -> 0x0001413fb341 (页 0x0001413fb000 +0x341)
      0x0001407a3189 -> 0x00014166e369 (页 0x00014166e000 +0x369)
      0x0001407a31e8 -> 0x00014117d32e (页 0x00014117d000 +0x32e)
      0x0001407a31f0 -> 0x0001416231de (页 0x000141623000 +0x1de)
      0x0001407a3255 -> 0x0001418a7ef8 (页 0x0001418a7000 +0xef8)
      0x0001407a3268 -> 0x00014117589d (页 0x000141175000 +0x89d)
      0x0001407a3279 -> 0x00014186ec26 (页 0x00014186e000 +0xc26)
   叶子 FUN_1407a3000 0x1407a3000..0x1407a3323: 11 个对齐的 .Sq> 调用点
      0x0001407a3033 -> 0x0001414caaeb (页 0x0001414ca000 +0xaeb)
      0x0001407a3067 -> 0x0001415c56c8 (页 0x0001415c5000 +0x6c8)
      0x0001407a30d3 -> 0x000141678922 (页 0x000141678000 +0x922)
      0x0001407a30dc -> 0x00014160eaaa (页 0x00014160e000 +0xaaa)
      0x0001407a30e8 -> 0x0001413fb341 (页 0x0001413fb000 +0x341)
      0x0001407a3189 -> 0x00014166e369 (页 0x00014166e000 +0x369)
      0x0001407a31e8 -> 0x00014117d32e (页 0x00014117d000 +0x32e)
      0x0001407a31f0 -> 0x0001416231de (页 0x000141623000 +0x1de)
      0x0001407a3255 -> 0x0001418a7ef8 (页 0x0001418a7000 +0xef8)
      0x0001407a3268 -> 0x00014117589d (页 0x000141175000 +0x89d)
      0x0001407a3279 -> 0x00014186ec26 (页 0x00014186e000 +0xc26)
   载体 FUN_1407a3510 0x1407a3510..0x1407a48a5: 16 个对齐的 .Sq> 调用点
      0x0001407a3518 -> 0x0001416e11cb (页 0x0001416e1000 +0x1cb)
      0x0001407a3d10 -> 0x000141a93a57 (页 0x000141a93000 +0xa57)
      0x0001407a3d26 -> 0x0001418b7f31 (页 0x0001418b7000 +0xf31)
      0x0001407a3d6f -> 0x0001415d27b2 (页 0x0001415d2000 +0x7b2)
      0x0001407a3d85 -> 0x000141a0c89b (页 0x000141a0c000 +0x89b)
      0x0001407a405c -> 0x000141a20f1b (页 0x000141a20000 +0xf1b)
      0x0001407a458e -> 0x00014191c5c8 (页 0x00014191c000 +0x5c8)
      0x0001407a45a3 -> 0x0001415887fa (页 0x000141588000 +0x7fa)
      0x0001407a45df -> 0x0001413e97e7 (页 0x0001413e9000 +0x7e7)
      0x0001407a45ff -> 0x000141813b9f (页 0x000141813000 +0xb9f)
      0x0001407a4616 -> 0x00014118c070 (页 0x00014118c000 +0x070)
      0x0001407a4665 -> 0x0001419a196d (页 0x0001419a1000 +0x96d)
      0x0001407a4677 -> 0x00014118f15d (页 0x00014118f000 +0x15d)
      0x0001407a481b -> 0x000141693bbe (页 0x000141693000 +0xbbe)
      0x0001407a486a -> 0x0001419b1199 (页 0x0001419b1000 +0x199)
      0x0001407a48a1 -> 0x0001413cd504 (页 0x0001413cd000 +0x504)
   main 0x1407a4b90..0x1407a7b90: 113 个对齐的 .Sq> 调用点
      0x0001407a486a -> 0x0001419b1199 (页 0x0001419b1000 +0x199)
