va	string
0x1407db158	us+[lG
0x1407db172	pU<,et@|
0x1407dbaf8	SleepConditionVariableCS
0x1407dbb18	WakeAllConditionVariable
0x1407dbb68	bad allocation
0x1407dbc48	device or resource busy
0x1407dbc60	invalid argument
0x1407dbc78	no such process
0x1407dbc88	not enough memory
0x1407dbca0	operation not permitted
0x1407dbcb8	resource deadlock would occur
0x1407dbcd8	resource unavailable try again
0x1407dbd60	generic
0x1407dc8f0	address family not supported
0x1407dc910	address in use
0x1407dc920	address not available
0x1407dc938	already connected
0x1407dc950	argument list too long
0x1407dc968	argument out of domain
0x1407dc980	bad address
0x1407dc990	bad file descriptor
0x1407dc9a8	bad message
0x1407dc9b8	broken pipe
0x1407dc9c8	connection aborted
0x1407dc9e0	connection already in progress
0x1407dca00	connection refused
0x1407dca18	connection reset
0x1407dca30	cross device link
0x1407dca48	destination address required
0x1407dca68	directory not empty
0x1407dca80	executable format error
0x1407dca98	file exists
0x1407dcaa8	file too large
0x1407dcab8	filename too long
0x1407dcad0	function not supported
0x1407dcae8	host unreachable
0x1407dcb00	identifier removed
0x1407dcb18	illegal byte sequence
0x1407dcb30	inappropriate io control operation
0x1407dcb58	interrupted
0x1407dcb68	invalid seek
0x1407dcb78	io error
0x1407dcb88	is a directory
0x1407dcb98	message size
0x1407dcba8	network down
0x1407dcbb8	network reset
0x1407dcbc8	network unreachable
0x1407dcbe0	no buffer space
0x1407dcbf0	no child process
0x1407dcc08	no link
0x1407dcc10	no lock available
0x1407dcc28	no message available
0x1407dcc40	no message
0x1407dcc50	no protocol option
0x1407dcc68	no space on device
0x1407dcc80	no stream resources
0x1407dcc98	no such device or address
0x1407dccb8	no such device
0x1407dccc8	no such file or directory
0x1407dcce8	not a directory
0x1407dccf8	not a socket
0x1407dcd08	not a stream
0x1407dcd18	not connected
0x1407dcd28	not supported
0x1407dcd38	operation canceled
0x1407dcd50	operation in progress
0x1407dcd68	operation not supported
0x1407dcd80	operation would block
0x1407dcd98	owner dead
0x1407dcda8	permission denied
0x1407dcdc0	protocol error
0x1407dcdd0	protocol not supported
0x1407dcde8	read only file system
0x1407dce00	result out of range
0x1407dce18	state not recoverable
0x1407dce30	stream timeout
0x1407dce40	text file busy
0x1407dce50	timed out
0x1407dce60	too many files open in system
0x1407dce80	too many files open
0x1407dce98	too many links
0x1407dcea8	too many symbolic link levels
0x1407dcec8	value too large
0x1407dced8	wrong protocol type
0x1407dcef0	unknown error
0x1407dcf00	FlsAlloc
0x1407dcf10	FlsFree
0x1407dcf18	FlsGetValue
0x1407dcf28	FlsSetValue
0x1407dcf38	InitializeCriticalSectionEx
0x1407dcf58	InitOnceExecuteOnce
0x1407dcf70	CreateEventExW
0x1407dcf80	CreateSemaphoreW
0x1407dcf98	CreateSemaphoreExW
0x1407dcfb0	CreateThreadpoolTimer
0x1407dcfc8	SetThreadpoolTimer
0x1407dcfe0	WaitForThreadpoolTimerCallbacks
0x1407dd000	CloseThreadpoolTimer
0x1407dd018	CreateThreadpoolWait
0x1407dd030	SetThreadpoolWait
0x1407dd048	CloseThreadpoolWait
0x1407dd060	FlushProcessWriteBuffers
0x1407dd080	FreeLibraryWhenCallbackReturns
0x1407dd0a0	GetCurrentProcessorNumber
0x1407dd0c0	CreateSymbolicLinkW
0x1407dd0d8	GetCurrentPackageId
0x1407dd0f0	GetTickCount64
0x1407dd100	GetFileInformationByHandleEx
0x1407dd120	SetFileInformationByHandle
0x1407dd140	GetSystemTimePreciseAsFileTime
0x1407dd160	InitializeConditionVariable
0x1407dd180	WakeConditionVariable
0x1407dd198	InitializeSRWLock
0x1407dd1b0	AcquireSRWLockExclusive
0x1407dd1c8	TryAcquireSRWLockExclusive
0x1407dd1e8	ReleaseSRWLockExclusive
0x1407dd200	SleepConditionVariableSRW
0x1407dd220	CreateThreadpoolWork
0x1407dd238	SubmitThreadpoolWork
0x1407dd250	CloseThreadpoolWork
0x1407dd268	CompareStringEx
0x1407dd278	GetLocaleInfoEx
0x1407dd288	LCMapStringEx
0x1407dd3a8	0123456789abcdefghijklmnopqrstuvwxyz
0x1407dd3f8	0123456789abcdefghijklmnopqrstuvwxyz
0x1407dd591	Qkkbal
0x1407dd89d	yjVI`w
0x1407dda64	/#$(gw
0x1407ddab8	DS:%[S
0x1407ddad3	G%iWGU2'r`
0x1407ddce3	~3WD%QTX
0x1407de03a	_Yd7=?
0x1407de223	bikllt
0x1407de279	jKENJG~
0x1407de33f	T>#<V3
0x1407de46d	55yc~`)
0x1407de5a8	b9q-r=
0x1407de8ad	oj$y*#
0x1407de90c	BXX!2C|
0x1407debf6	@h[H/<
0x1407dedb7	WSAStartup
0x1407dedd8	WSAGetLastError
0x1407dedef	winsock
0x1407dee56	SP_CloudComputing_Callback
0x1407df27c	00-00-00-00-00-00
0x1407df28e	%02X-%02X-%02X-%02X-%02X-%02X
0x1407df2ac	SOFTWARE\Microsoft\Windows NT\CurrentVersion
0x1407df2d9	ProductName
0x1407df2e5	CurrentBuildNumber
0x1407df300	GetNativeSystemInfo
0x1407df314	kernel32
0x1407df31d	map/set too long
0x1407df32e	vector too long
0x1407df4d1	b2^&UR
0x1407df7a0	0123456789ABCDEF
0x1407df955	Z1NS /
0x1407dfbad	D7q/;M
0x1407e0058	bad exception
0x1407e0770	__based(
0x1407e0780	__cdecl
0x1407e0788	__pascal
0x1407e0798	__stdcall
0x1407e07a8	__thiscall
0x1407e07b8	__fastcall
0x1407e07c8	__vectorcall
0x1407e07d8	__clrcall
0x1407e07e4	__eabi
0x1407e07f0	__swift_1
0x1407e0800	__swift_2
0x1407e0810	__ptr64
0x1407e0818	__restrict
0x1407e0828	__unaligned
0x1407e0838	restrict(
0x1407e0850	 delete
0x1407e0878	operator
0x1407e08f8	`vftable'
0x1407e0908	`vbtable'
0x1407e0918	`vcall'
0x1407e0920	`typeof'
0x1407e0930	`local static guard'
0x1407e0948	`string'
0x1407e0958	`vbase destructor'
0x1407e0970	`vector deleting destructor'
0x1407e0990	`default constructor closure'
0x1407e09b0	`scalar deleting destructor'
0x1407e09d0	`vector constructor iterator'
0x1407e09f0	`vector destructor iterator'
0x1407e0a10	`vector vbase constructor iterator'
0x1407e0a38	`virtual displacement map'
0x1407e0a58	`eh vector constructor iterator'
0x1407e0a80	`eh vector destructor iterator'
0x1407e0aa0	`eh vector vbase constructor iterator'
0x1407e0ac8	`copy constructor closure'
0x1407e0ae8	`udt returning'
0x1407e0b08	`local vftable'
0x1407e0b18	`local vftable constructor closure'
0x1407e0b3c	 new[]
0x1407e0b48	 delete[]
0x1407e0b58	`omni callsig'
0x1407e0b68	`placement delete closure'
0x1407e0b88	`placement delete[] closure'
0x1407e0ba8	`managed vector constructor iterator'
0x1407e0bd0	`managed vector destructor iterator'
0x1407e0bf8	`eh vector copy constructor iterator'
0x1407e0c20	`eh vector vbase copy constructor iterator'
0x1407e0c50	`dynamic initializer for '
0x1407e0c70	`dynamic atexit destructor for '
0x1407e0c98	`vector copy constructor iterator'
0x1407e0cc0	`vector vbase copy constructor iterator'
0x1407e0cf0	`managed vector copy constructor iterator'
0x1407e0d20	`local static thread guard'
0x1407e0d40	operator "" 
0x1407e0d50	operator co_await
0x1407e0d68	operator<=>
0x1407e0d78	 Type Descriptor'
0x1407e0d90	 Base Class Descriptor at (
0x1407e0db0	 Base Class Array'
0x1407e0dc8	 Class Hierarchy Descriptor'
0x1407e0de8	 Complete Object Locator'
0x1407e0e08	`anonymous namespace'
0x1407e11c0	(null)
0x1407e1310	CorExitProcess
0x1407e148f	 !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
0x1407e19d0	 !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
0x1407e1b50	 !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
0x1407e20fc	[aOni*{
0x1407e22dd	~ $s%r
0x1407e22ec	@b;zO]
0x1407e26c7	v2!L.2
0x1407e29a4	UUUUUU
0x1407e29cb	?UUUUUU
0x1407e2e9f	?kxG2)
0x1407e2f27	?TY,>5
0x1407e2fdf	?!5WOo
0x1407e3027	?E=$% B
0x1407e3097	?49HoKC
0x1407e355c	Sunday
0x1407e3564	Monday
0x1407e3570	Tuesday
