string_va	encoding	region	referencing_function	insn_va	string
0x140f8d010	utf-16	rdata_tail	FUN_14078bf50	0x14078c07c	\Registry\Machine\System\CurrentControlSet\Services\
0x140f8d010	utf-16	rdata_tail	FUN_14078c300	0x14078c622	\Registry\Machine\System\CurrentControlSet\Services\
0x140f8d010	utf-16	rg2	FUN_14078bf50	0x14078c07c	\Registry\Machine\System\CurrentControlSet\Services\
0x140f8d010	utf-16	rg2	FUN_14078c300	0x14078c622	\Registry\Machine\System\CurrentControlSet\Services\
0x140f8d080	utf-16	rdata_tail	FUN_14078bf50	0x14078c0d3	SYSTEM\CurrentControlSet\Services\
0x140f8d080	utf-16	rdata_tail	FUN_14078c300	0x14078c389	SYSTEM\CurrentControlSet\Services\
0x140f8d080	utf-16	rg2	FUN_14078bf50	0x14078c0d3	SYSTEM\CurrentControlSet\Services\
0x140f8d080	utf-16	rg2	FUN_14078c300	0x14078c389	SYSTEM\CurrentControlSet\Services\
0x140f8d340	ascii	rdata_tail	FUN_14078e4d0	0x14078e50f	SYSTEM\CurrentControlSet\Services
0x140f8d340	ascii	rg2	FUN_14078e4d0	0x14078e50f	SYSTEM\CurrentControlSet\Services
0x140f8e320	utf-16	rdata_tail	FUN_140791b20	0x140791b8c	<HOST_PATH>\<DIR>ware.ini
0x140f8e320	utf-16	rdata_tail	FUN_140791c30	0x140791ca5	<HOST_PATH>\<DIR>ware.ini
0x140f8e320	utf-16	rg2	FUN_140791b20	0x140791b8c	<HOST_PATH>\<DIR>ware.ini
0x140f8e320	utf-16	rg2	FUN_140791c30	0x140791ca5	<HOST_PATH>\<DIR>ware.ini
0x140f8e370	utf-16	rdata_tail	FUN_140791b20	0x140791b93	C:\Windows\System32\Hardware.ini
0x140f8e370	utf-16	rdata_tail	FUN_140791c30	0x140791cac	C:\Windows\System32\Hardware.ini
0x140f8e370	utf-16	rg2	FUN_140791b20	0x140791b93	C:\Windows\System32\Hardware.ini
0x140f8e370	utf-16	rg2	FUN_140791c30	0x140791cac	C:\Windows\System32\Hardware.ini
0x140f8e640	utf-16	rdata_tail	FUN_140790fc0	0x140791043	wmic 
0x140f8e640	utf-16	rg2	FUN_140790fc0	0x140791043	wmic 
0x140f8e660	utf-16	rdata_tail	FUN_140791c30	0x140791cff	SerialNumber
0x140f8e660	utf-16	rdata_tail	FUN_140791c30	0x1407920d1	SerialNumber
0x140f8e660	utf-16	rdata_tail	FUN_140791c30	0x140792217	SerialNumber
0x140f8e660	utf-16	rdata_tail	FUN_140791c30	0x1407924a3	SerialNumber
