# genB runtime-decrypted vocabulary block
# source: VM guest RAM region dump, pid 9120 (EPT_3C9F3CEF_69BB4F9F.exe), arm RG2
# snapshot qoder-armed-20260919, 2026-09-19 15:20 (+08:00)
# image base 0x140000000; block 0x140f8c800-0x140f99000; extracted from base64 channel only
# NOTE: this is decrypted *data*, from the host's point of view never written as raw memory.
0x140f8cb60  RtlGetVersion
0x140f8cb7c  HpSvc
0x140f8cb84  HpDrv
0x140f8cba0  HP_WKS_SWTOOLS_DRIVER.sys helper
0x140f8cbc8  Reading %s at address 0x%.16I64X...
0x140f8cbf0  Can't read %s at address 0x%.16I64X...
0x140f8cd16  tcx5GQU
0x140f8cd40  ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789
0x140f8cdc0  abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
0x140f8cdf8  iSkHFCcUNQBU
0x140f8ce50  abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789
0x140f8ce98  iostream stream error
0x140f8cec0  0123456789ABCDEF
0x140f8ced8  bad cast
0x140f8cee8  string too long
0x140f8cf00  iostream
0x140f8cf10  bad locale name
0x140f8cf20  ios_base::badbit set
0x140f8cf38  ios_base::failbit set
0x140f8cf50  ios_base::eofbit set
0x140f8cf78  %sEPT_runtime_hash.csv
0x140f8d130  C:\Windows\System32
0x140f8d148  <HOST_PATH>\<DIR>
0x140f8d160  CI00 open_auth begin path=%s comm=%s ioctlAuth=0x%08lX magic=0x%08lX
0x140f8d1b0  CI01 open_failed gle=%lu path=%s comm=%s
0x140f8d1e0  CI02 auth_stage0_failed ioctl=%d gle=%lu ret=%lu decode=%d stage=%lu packetPid=%lu pid=%lu nonce=0x%08lX comm=%s ioctlAuth=0x%08lX
0x140f8d270  CI03 auth_stage1_failed ioctl=%d gle=%lu ret=%lu decode=%d stage=%lu packetPid=%lu pid=%lu session=0x%08lX comm=%s ioctlAuth=0x%08lX
0x140f8d300  CI04 auth_success comm=%s session=0x%08lX ioctlRun=0x%08lX
0x140f8d340  SYSTEM\CurrentControlSet\Services
0x140f8d370  CI06 scan_existing attached service=%s comm=%s ioctlRun=0x%08lX session=0x%08lX
0x140f8d3c8  CI08 comm_init begin h=%p session=0x%08lX comm=%s
0x140f8d400  CI09 comm_init reuse_current comm=%s session=0x%08lX
0x140f8d440  CI10 comm_init attached_existing comm=%s session=0x%08lX
0x140f8d480  CI11 comm_init direct_open_ok comm=%s session=0x%08lX
0x140f8d4c0  CI13 comm_init driver_load_failed driverStage=%s win32=%lu nt=0x%08lX driver=%s comm=%s
0x140f8d520  CI15 comm_init open_after_load_failed commStage=%s win32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX driver=%s comm=%s
0x140f8d5a0  CI16 comm_init new_load_ok driver=%s comm=%s session=0x%08lX ioctlRun=0x%08lX
0x140f8d5f0  CI17 close_comm h=%p session=0x%08lX comm=%s
0x140f8d630  CI18 reopen_fresh driver_load_failed driverStage=%s win32=%lu nt=0x%08lX driver=%s
0x140f8d690  CI19 reopen_fresh open_auth_failed commStage=%s win32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX driver=%s comm=%s
0x140f8d710  CI20 reopen_fresh ok driver=%s comm=%s session=0x%08lX ioctlRun=0x%08lX
0x140f8d760  RC01 invalid_state h=%p in=%p session=0x%08lX comm=%s ioctlRun=0x%08lX
0x140f8d7b0  RC00 send mode=%lu serialMode=%d diskLen=%lu comm=%s ioctlRun=0x%08lX session=0x%08lX
0x140f8d810  RC02 ioctl_failed gle=%lu ret=%lu comm=%s ioctlRun=0x%08lX session=0x%08lX driver=%s
0x140f8d870  RC03 decode_failed ret=%lu marker=0x%08lX comm=%s ioctlRun=0x%08lX session=0x%08lX driver=%s
0x140f8d8d0  RC04 session_mismatch ret=%lu response=0x%08lX expected=0x%08lX comm=%s ioctlRun=0x%08lX driver=%s
0x140f8d940  RC06 success ret=%lu common=0x%08lX mode=%lu serialMode=%d comm=%s session=0x%08lX
0x140f8d9a0  HS00 begin mode=%lu serialMode=%d diskLen=%lu comm=%s session=0x%08lX
0x140f8d9f0  HS01 register_failed mode=%lu serialMode=%d commStage=%s commWin32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX
0x140f8da70  HS02 common_mismatch common=0x%08lX expected=0x12345678 mode=%lu serialMode=%d comm=%s session=0x%08lX
0x140f8dad8  HS03 success mode=%lu serialMode=%d comm=%s session=0x%08lX
0x140f8db20  HS11 first_failed reopen_fresh commStage=%s commWin32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX
0x140f8db90  HS12 reopen_failed commStage=%s commWin32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX
0x140f8dbf0  HS13 second_attempt mode=%lu serialMode=%d comm=%s session=0x%08lX
0x140f8dc38  EPT Hardware Console - 
0x140f8dc90  --shift-open
0x140f8dca0  --nsp-runtime-child
0x140f8dd95   HVCI
0x140f8dddb  DSE-%lu
0x140f8de0f   HVCI
0x140f8e030  SP_NOERROR
0x140f8e040  SP_NOINIT
0x140f8e050  SP_WSAFAILED
0x140f8e060  SP_CONNECTFAILED
0x140f8e078  SP_DATAERROR
0x140f8e088  SP_NOLOADCLOUDDLL
0x140f8e0a0  SP_FAILEDWRITE
0x140f8e0b0  SP_EXPIREDTOKEN
0x140f8e0c0  SP_UNKNOWNERRROR
0x140f8e0d8  SP_INVALIDCARD
0x140f8e0e8  SP_EXPIREDCARD
0x140f8e0f8  SP_BANNEDCARD
0x140f8e108  SP_INVALIDAGENT
0x140f8e118  SP_BANNEDAGENT
0x140f8e128  SP_MAXONLINE
0x140f8e138  SP_OFFLINE
0x140f8e148  SP_ANOTHERUSERUNBIND
0x140f8e160  SP_INVALIDPARAM
0x140f8e170  SP_FYINOTENOUGH
0x140f8e180  SP_NOACTIVATEDCARD
0x140f8e198  SP_LOGINEXCEPTION
0x140f8e1b0  SP_FAILEDACTIVATECARD
0x140f8e1c8  SP_BINDMSGDIFF
0x140f8e1d8  SP_FAILEDGETCARD
0x140f8e1f0  SP_NOBIND
0x140f8e200  SP_MAXUNBINDCOUNT
0x140f8e218  SP_DISABLELOGIN
0x140f8e228  SP_UNKNOWN_CODE
0x140f8e238  %s\SysWOW64\SPVerifyDiag.log
0x140f8e258  C:\Windows\SysWOW64\SPVerifyDiag.log
0x140f8e2a8  stage=%s ret=%d name=%s
0x140f8e2c0  stage=%s value=%d
0x140f8e2d8  user32.dll
0x140f8e2e8  MessageBoxTimeoutA
0x140f8e3b8  <HOST_PATH>\<DIR>ware
0x140f8e3d8  C:\Windows\System32\Hardware
0x140f8e3f8  <HOST_PATH>\<DIR>ware.exe
0x140f8e420  C:\Windows\System32\Hardware.exe
0x140f8e4e8  <HOST_PATH>\<DIR>cmd
0x140f8e508  C:\Windows\System32\EPT.cmd
0x140f8e528  <HOST_PATH>\<DIR>.cmd
0x140f8e548  C:\Windows\System32\hwid.cmd
0x140f8e568  <HOST_PATH>\<DIR>cmd
0x140f8e588  C:\Windows\System32\ept.cmd
0x140f8e5a8  <HOST_PATH>\<DIR>cmd.tmp
0x140f8e5c8  C:\Windows\System32\EPT.cmd.tmp
0x140f8eb54  TITLE=
0x140f8eb68  VERMSG=
0x140f8eb92   KEY 
0x140f8eba8  EPT Hardware Console
0x140f8f910  Microsoft YaHei UI
0x140f8f974  STATIC
0x140f8fa24  BUTTON
0x140f8fa40  NspFirstRunDisclaimerWindow
0x140f8faf0   KEY 
0x140f8fbb8   GPU 
0x140f8fc28  tooltips_class32
0x140f8fddc   KEY 
0x140f8fe18  License Key
0x140f90150  NspSetupWindow
0x140f901a8   KEY 
0x140f901d8  0123456789ABCDEFHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz
0x140f90260  SeShutdownPrivilege
0x140f904a8  cmd.exe /d /s /c "
0x140f904c0  HardwareTask.xml
0x140f90908  DisableAntiSpyware
0x140f90920  SOFTWARE\Policies\Microsoft\Windows Defender
0x140f90950  DisableBehaviorMonitoring
0x140f90970  SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection
0x140f909b8  DisableIOAVProtection
0x140f909d0  DisableOnAccessProtection
0x140f909f0  DisableRealtimeMonitoring
0x140f90a0c  Start
0x140f90a18  SYSTEM\CurrentControlSet\Services\SecurityHealthService
0x140f90a50  DisableSR
