18230 TCP    127.0.0.1:1029         127.0.0.1:53632        ESTABLISHED
18230 TCP    127.0.0.1:53632        127.0.0.1:1029         ESTABLISHED
20355 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
22464 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
24073 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
26199 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
28277 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
30371 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
32480 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
34058 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
36149 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
38246 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
40343 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
42433 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
44006 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
44536 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
46131 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
48226 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
50308 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
52421 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
53989 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
54536 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
56107 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
58227 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
60321 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
62410 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
63973 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
64504 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
66098 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
68192 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
70286 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
72420 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
73983 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
74515 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
76095 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
78204 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
80315 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
82393 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
83973 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
84504 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
86077 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
88181 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
90287 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
92420 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
94009 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
94556 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
96149 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
98275 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
100385 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
101979 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
102511 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
104120 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
106252 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
108377 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
109971 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
110503 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
112108 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
114226 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
116351 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
117959 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
118504 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
120119 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
122257 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
124403 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
126009 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
126556 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
128150 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
130274 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
132419 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
134028 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
134560 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
136154 TCP    127.0.0.1:53632        127.0.0.1:1029         TIME_WAIT
